conspect1,conspect2,conspect3,conspectus_name
6,8,2,Kovářství
6,8,3,Železářství. Zámečnictví. Topná zařízení
6,8,4,Nábytkářský průmysl
6,8,5,Zpracování kůže. Obuvnictví
6,8,6,Knihařství. Sklenářství. Kancelářské potřeby
6,8,7,Oděvní průmysl. Kosmetika. Kadeřnictví. Péče o vzhled
6,8,8,Dekorační předměty. Hračky. Galanterie
6,9,1,Stavební hmoty
6,9,2,Konstrukční prvky a části staveb
6,9,3,Zednické práce
6,9,4,Dřevěné stavby. Tesařství. Truhlářství
6,9,6,Instalace v budovách
6,9,8,Dokončovací práce
6,9,,Stavebnictví
7,1,2,Plánování krajiny. Parky. Zahrady
7,1,,Územní plánování. Urbanismus. Památková péče
7,0,1,Fine and decorative arts
7,2,,Architektura
7,3,,Sochařství
7,3,,"Sochařství, keramika, porcelán, umělecké zpracování kovů"
7,4,,Kresba. Umělecká řemesla
7,4,1,Komiksy. Komiksové adaptace
7,5,,Malířství
7,6,,Grafické umění. Grafika
7,7,,Fotografie. Fotografické postupy
7,8,1,Hudební teorie
7,8,3,Církevní hudba. Duchovní hudba. Náboženská hudba
7,8,4,Vokální hudba
7,8,5,Instrumentální hudba. Symfonická hudba. Hudba pro více nástrojů
7,8,0,Hudební nástroje a příslušenství
7,8,6,Hudba pro klávesové nástroje
7,8,7,Hudba pro strunné a smyčcové nástroje
7,8,8,Hudba pro dechové nástroje
7,8,9,Hudba pro bicí nástroje
7,8,,Hudba
7,9,1,Film. Cirkus. Lidová zábava
7,9,2,Divadlo. Divadelní představení
6,9,9,Ochrana budov
7,9,3,Společenská zábava
7,9,5,Elektronické hry
7,9,6,Sport. Hry. Tělesná cvičení
7,9,7,Vodní sporty. Letecké sporty
7,9,8,Jezdectví. Sporty se zvířaty
7,9,9,Sportovní rybolov. Lovecký sport. Sportovní střelba
7,9,,Rekreace. Volný čas. Zábava. Hry. Sport
8,0,8,Literární styl. Literární činnost a technika. Efektivní využívání jazyka. Spisovatelská činnost
8,0,,Filologie
8,1,,Lingvistika. Jazyky
8,2,1,Literatura v různých jazycích
8,2,,Literatura. Literární život
9,0,2,Archeologie
9,0,3,Pravěk
9,0,4,Kulturní památky historického období obecně
9,0,8,Studium oblastí a lokalit obecně
9,1,0,Geography and travel
9,1,1,Obecná geografie. Systematická geografie
9,1,2,Mapy. Atlasy. Glóby
9,1,3,Regionální geografie
9,1,,Geografie jako věda. Výzkum. Cestování
9,2,9,Biografie
9,3,0,Historická věda. Pomocné vědy historické. Archivnictví
9,,,Geografie. Biografické studie. Dějiny
1,,,Filozofie
6,,,Užité vědy
7,,,Umění
9,3,,Dějiny
3,2,3,Vnitropolitický vývoj
3,2,4,Volby
3,2,5,Mezinárodní migrace
3,2,7,Mezinárodní vztahy
3,3,2,Regionální ekonomie
3,4,9,"Pracovní, sociální, stavební právo. Právo životního prostředí"
3,5,1,"Úkoly veřejné správy, správní opatření, legislativa"
3,9,1,"Oděv, móda, ozdoby"
3,9,2,"Zvyky, mravy, obyčeje v soukromém životě"
6,4,9,"Domácí péče o děti, nemocné a hosty"
6,7,9,Výroba kabelů
9,4,,Světové dějiny
6,9,7,"Vytápění, větrání, klimatizace"
7,9,4,"Deskové a stolní hry, logické hry, hry zručnosti"
7,8,2,"Divadelní hudba. Opera, opereta, muzikál"
0,6,1,Nevládní organizace a kooperace
0,9,5,Vzácná díla
0,,,"Počítačová věda, informace a obecné"
1,2,2,Speciální metafyzika
0,2,1,Vztahy knihoven a jiných institucí
1,5,9,Vůle
3,5,5,Vojenská věda
0,3,,Obecné encyklopedie
0,5,,Obecné sériové publikace
0,7,,"Dokumentární média, žurnalistika, nakladatelství"
1,0,,Obecné filosofie
1,2,,"Epistemologie, kauzalita, konečnost, lidská rasa"
1,5,,Psychologie
3,0,,Obecné informace o sociálních vědách
3,1,,Obecné statistiky
3,2,,Politologie
4,0,,Obecné informace o jazycích
6,8,,Výroba výrobků pro zvláštní použití
6,5,,Řízení podniku a pomocné služby
9,0,,Obecných údajů o geografii a historii
9,2,,"Životopis, genealogie, emblémy, odznaky"
,,,
